Designator,Footprint,Quantity,Value,LCSC Part #
"KiKit_MB_10_1, KiKit_MB_10_2, KiKit_MB_10_3, KiKit_MB_10_4, KiKit_MB_10_5, KiKit_MB_10_6, KiKit_MB_10_7, KiKit_MB_10_8, KiKit_MB_11_1, KiKit_MB_11_2, KiKit_MB_11_3, KiKit_MB_11_4, KiKit_MB_11_5, KiKit_MB_11_6, KiKit_MB_11_7, KiKit_MB_11_8, KiKit_MB_12_1, KiKit_MB_12_2, KiKit_MB_12_3, KiKit_MB_12_4, KiKit_MB_12_5, KiKit_MB_12_6, KiKit_MB_12_7, KiKit_MB_12_8, KiKit_MB_13_1, KiKit_MB_13_2, KiKit_MB_13_3, KiKit_MB_13_4, KiKit_MB_13_5, KiKit_MB_13_6, KiKit_MB_13_7, KiKit_MB_13_8, KiKit_MB_14_1, KiKit_MB_14_2, KiKit_MB_14_3, KiKit_MB_14_4, KiKit_MB_14_5, KiKit_MB_14_6, KiKit_MB_14_7, KiKit_MB_14_8, KiKit_MB_15_1, KiKit_MB_15_2, KiKit_MB_15_3, KiKit_MB_15_4, KiKit_MB_15_5, KiKit_MB_15_6, KiKit_MB_15_7, KiKit_MB_15_8, KiKit_MB_16_1, KiKit_MB_16_2, KiKit_MB_16_3, KiKit_MB_16_4, KiKit_MB_16_5, KiKit_MB_16_6, KiKit_MB_16_7, KiKit_MB_16_8, KiKit_MB_17_1, KiKit_MB_17_2, KiKit_MB_17_3, KiKit_MB_17_4, KiKit_MB_17_5, KiKit_MB_17_6, KiKit_MB_17_7, KiKit_MB_17_8, KiKit_MB_18_1, KiKit_MB_18_2, KiKit_MB_18_3, KiKit_MB_18_4, KiKit_MB_18_5, KiKit_MB_18_6, KiKit_MB_18_7, KiKit_MB_18_8, KiKit_MB_19_1, KiKit_MB_19_2, KiKit_MB_19_3, KiKit_MB_19_4, KiKit_MB_19_5, KiKit_MB_19_6, KiKit_MB_19_7, KiKit_MB_19_8, KiKit_MB_1_1, KiKit_MB_1_2, KiKit_MB_1_3, KiKit_MB_1_4, KiKit_MB_1_5, KiKit_MB_1_6, KiKit_MB_1_7, KiKit_MB_1_8, KiKit_MB_20_1, KiKit_MB_20_2, KiKit_MB_20_3, KiKit_MB_20_4, KiKit_MB_20_5, KiKit_MB_20_6, KiKit_MB_20_7, KiKit_MB_20_8, KiKit_MB_21_1, KiKit_MB_21_2, KiKit_MB_21_3, KiKit_MB_21_4, KiKit_MB_21_5, KiKit_MB_21_6, KiKit_MB_21_7, KiKit_MB_21_8, KiKit_MB_22_1, KiKit_MB_22_2, KiKit_MB_22_3, KiKit_MB_22_4, KiKit_MB_22_5, KiKit_MB_22_6, KiKit_MB_22_7, KiKit_MB_22_8, KiKit_MB_23_1, KiKit_MB_23_2, KiKit_MB_23_3, KiKit_MB_23_4, KiKit_MB_23_5, KiKit_MB_23_6, KiKit_MB_23_7, KiKit_MB_23_8, KiKit_MB_24_1, KiKit_MB_24_2, KiKit_MB_24_3, KiKit_MB_24_4, KiKit_MB_24_5, KiKit_MB_24_6, KiKit_MB_24_7, KiKit_MB_24_8, KiKit_MB_25_1, KiKit_MB_25_2, KiKit_MB_25_3, KiKit_MB_25_4, KiKit_MB_25_5, KiKit_MB_25_6, KiKit_MB_25_7, KiKit_MB_25_8, KiKit_MB_26_1, KiKit_MB_26_2, KiKit_MB_26_3, KiKit_MB_26_4, KiKit_MB_26_5, KiKit_MB_26_6, KiKit_MB_26_7, KiKit_MB_26_8, KiKit_MB_27_1, KiKit_MB_27_2, KiKit_MB_27_3, KiKit_MB_27_4, KiKit_MB_27_5, KiKit_MB_27_6, KiKit_MB_27_7, KiKit_MB_27_8, KiKit_MB_28_1, KiKit_MB_28_2, KiKit_MB_28_3, KiKit_MB_28_4, KiKit_MB_28_5, KiKit_MB_28_6, KiKit_MB_28_7, KiKit_MB_28_8, KiKit_MB_29_1, KiKit_MB_29_2, KiKit_MB_29_3, KiKit_MB_29_4, KiKit_MB_29_5, KiKit_MB_29_6, KiKit_MB_29_7, KiKit_MB_29_8, KiKit_MB_2_1, KiKit_MB_2_2, KiKit_MB_2_3, KiKit_MB_2_4, KiKit_MB_2_5, KiKit_MB_2_6, KiKit_MB_2_7, KiKit_MB_2_8, KiKit_MB_30_1, KiKit_MB_30_2, KiKit_MB_30_3, KiKit_MB_30_4, KiKit_MB_30_5, KiKit_MB_30_6, KiKit_MB_30_7, KiKit_MB_30_8, KiKit_MB_31_1, KiKit_MB_31_2, KiKit_MB_31_3, KiKit_MB_31_4, KiKit_MB_31_5, KiKit_MB_31_6, KiKit_MB_31_7, KiKit_MB_31_8, KiKit_MB_32_1, KiKit_MB_32_2, KiKit_MB_32_3, KiKit_MB_32_4, KiKit_MB_32_5, KiKit_MB_32_6, KiKit_MB_32_7, KiKit_MB_32_8",NPTH,200,NPTH,
"KiKit_MB_33_1, KiKit_MB_33_2, KiKit_MB_33_3, KiKit_MB_33_4, KiKit_MB_33_5, KiKit_MB_33_6, KiKit_MB_33_7, KiKit_MB_33_8, KiKit_MB_34_1, KiKit_MB_34_2, KiKit_MB_34_3, KiKit_MB_34_4, KiKit_MB_34_5, KiKit_MB_34_6, KiKit_MB_34_7, KiKit_MB_34_8, KiKit_MB_35_1, KiKit_MB_35_2, KiKit_MB_35_3, KiKit_MB_35_4, KiKit_MB_35_5, KiKit_MB_35_6, KiKit_MB_35_7, KiKit_MB_35_8, KiKit_MB_36_1, KiKit_MB_36_2, KiKit_MB_36_3, KiKit_MB_36_4, KiKit_MB_36_5, KiKit_MB_36_6, KiKit_MB_36_7, KiKit_MB_36_8, KiKit_MB_37_1, KiKit_MB_37_2, KiKit_MB_37_3, KiKit_MB_37_4, KiKit_MB_37_5, KiKit_MB_37_6, KiKit_MB_37_7, KiKit_MB_37_8, KiKit_MB_38_1, KiKit_MB_38_2, KiKit_MB_38_3, KiKit_MB_38_4, KiKit_MB_38_5, KiKit_MB_38_6, KiKit_MB_38_7, KiKit_MB_38_8, KiKit_MB_39_1, KiKit_MB_39_2, KiKit_MB_39_3, KiKit_MB_39_4, KiKit_MB_39_5, KiKit_MB_39_6, KiKit_MB_39_7, KiKit_MB_39_8, KiKit_MB_3_1, KiKit_MB_3_2, KiKit_MB_3_3, KiKit_MB_3_4, KiKit_MB_3_5, KiKit_MB_3_6, KiKit_MB_3_7, KiKit_MB_3_8, KiKit_MB_40_1, KiKit_MB_40_2, KiKit_MB_40_3, KiKit_MB_40_4, KiKit_MB_40_5, KiKit_MB_40_6, KiKit_MB_40_7, KiKit_MB_40_8, KiKit_MB_41_1, KiKit_MB_41_2, KiKit_MB_41_3, KiKit_MB_41_4, KiKit_MB_41_5, KiKit_MB_41_6, KiKit_MB_41_7, KiKit_MB_41_8, KiKit_MB_42_1, KiKit_MB_42_2, KiKit_MB_42_3, KiKit_MB_42_4, KiKit_MB_42_5, KiKit_MB_42_6, KiKit_MB_42_7, KiKit_MB_42_8, KiKit_MB_43_1, KiKit_MB_43_2, KiKit_MB_43_3, KiKit_MB_43_4, KiKit_MB_43_5, KiKit_MB_43_6, KiKit_MB_43_7, KiKit_MB_43_8, KiKit_MB_44_1, KiKit_MB_44_2, KiKit_MB_44_3, KiKit_MB_44_4, KiKit_MB_44_5, KiKit_MB_44_6, KiKit_MB_44_7, KiKit_MB_44_8, KiKit_MB_45_1, KiKit_MB_45_2, KiKit_MB_45_3, KiKit_MB_45_4, KiKit_MB_45_5, KiKit_MB_45_6, KiKit_MB_45_7, KiKit_MB_45_8, KiKit_MB_46_1, KiKit_MB_46_2, KiKit_MB_46_3, KiKit_MB_46_4, KiKit_MB_46_5, KiKit_MB_46_6, KiKit_MB_46_7, KiKit_MB_46_8, KiKit_MB_47_1, KiKit_MB_47_2, KiKit_MB_47_3, KiKit_MB_47_4, KiKit_MB_47_5, KiKit_MB_47_6, KiKit_MB_47_7, KiKit_MB_47_8, KiKit_MB_48_1, KiKit_MB_48_2, KiKit_MB_48_3, KiKit_MB_48_4, KiKit_MB_48_5, KiKit_MB_48_6, KiKit_MB_48_7, KiKit_MB_48_8, KiKit_MB_49_1, KiKit_MB_49_2, KiKit_MB_49_3, KiKit_MB_49_4, KiKit_MB_49_5, KiKit_MB_49_6, KiKit_MB_4_1, KiKit_MB_4_2, KiKit_MB_4_3, KiKit_MB_4_4, KiKit_MB_4_5, KiKit_MB_4_6, KiKit_MB_4_7, KiKit_MB_4_8, KiKit_MB_50_1, KiKit_MB_50_2, KiKit_MB_50_3, KiKit_MB_50_4, KiKit_MB_50_5, KiKit_MB_50_6, KiKit_MB_51_1, KiKit_MB_51_2, KiKit_MB_51_3, KiKit_MB_51_4, KiKit_MB_51_5, KiKit_MB_51_6, KiKit_MB_52_1, KiKit_MB_52_2, KiKit_MB_52_3, KiKit_MB_52_4, KiKit_MB_52_5, KiKit_MB_52_6, KiKit_MB_53_1, KiKit_MB_53_2, KiKit_MB_53_3, KiKit_MB_53_4, KiKit_MB_53_5, KiKit_MB_53_6, KiKit_MB_53_7, KiKit_MB_54_1, KiKit_MB_54_2, KiKit_MB_54_3, KiKit_MB_54_4, KiKit_MB_54_5, KiKit_MB_54_6, KiKit_MB_54_7, KiKit_MB_55_1, KiKit_MB_55_2, KiKit_MB_55_3, KiKit_MB_55_4, KiKit_MB_55_5, KiKit_MB_55_6, KiKit_MB_55_7, KiKit_MB_56_1, KiKit_MB_56_2, KiKit_MB_56_3, KiKit_MB_56_4, KiKit_MB_56_5, KiKit_MB_56_6, KiKit_MB_56_7, KiKit_MB_57_1, KiKit_MB_57_2, KiKit_MB_57_3, KiKit_MB_57_4",NPTH,200,NPTH,
"KiKit_MB_57_5, KiKit_MB_57_6, KiKit_MB_57_7, KiKit_MB_58_1, KiKit_MB_58_2, KiKit_MB_58_3, KiKit_MB_58_4, KiKit_MB_58_5, KiKit_MB_58_6, KiKit_MB_58_7, KiKit_MB_59_1, KiKit_MB_59_2, KiKit_MB_59_3, KiKit_MB_59_4, KiKit_MB_59_5, KiKit_MB_59_6, KiKit_MB_59_7, KiKit_MB_5_1, KiKit_MB_5_2, KiKit_MB_5_3, KiKit_MB_5_4, KiKit_MB_5_5, KiKit_MB_5_6, KiKit_MB_5_7, KiKit_MB_5_8, KiKit_MB_60_1, KiKit_MB_60_2, KiKit_MB_60_3, KiKit_MB_60_4, KiKit_MB_60_5, KiKit_MB_60_6, KiKit_MB_60_7, KiKit_MB_6_1, KiKit_MB_6_2, KiKit_MB_6_3, KiKit_MB_6_4, KiKit_MB_6_5, KiKit_MB_6_6, KiKit_MB_6_7, KiKit_MB_6_8, KiKit_MB_7_1, KiKit_MB_7_2, KiKit_MB_7_3, KiKit_MB_7_4, KiKit_MB_7_5, KiKit_MB_7_6, KiKit_MB_7_7, KiKit_MB_7_8, KiKit_MB_8_1, KiKit_MB_8_2, KiKit_MB_8_3, KiKit_MB_8_4, KiKit_MB_8_5, KiKit_MB_8_6, KiKit_MB_8_7, KiKit_MB_8_8, KiKit_MB_9_1, KiKit_MB_9_2, KiKit_MB_9_3, KiKit_MB_9_4, KiKit_MB_9_5, KiKit_MB_9_6, KiKit_MB_9_7, KiKit_MB_9_8",NPTH,64,NPTH,
"R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_6, R2_5, R2_4, R2_3, R2_2, R2",0402,12,27,
"R10_6, R10_5, R10_4, R10_3, R10_2, R10, R14_6, R14_5, R14_4, R14_3, R14_2, R14, R9_6, R9_5, R9_4, R9_3, R9_2, R9",0402,18,10k,
"R11_6, R11_5, R11_4, R11_3, R11_2, R11, R12_6, R12_5, R12_4, R12_3, R12_2, R12",0402,12,5.1k,
"R13_6, R13_5, R13_4, R13_3, R13_2, R13",0402,6,5.6k,
"R15_6, R15_5, R15_4, R15_3, R15_2, R15",0402,6,100k,
"R3_6, R3_5, R3_4, R3_3, R3_2, R3",0402,6,200,
"R4_6, R4_5, R4_4, R4_3, R4_2, R4",0402,6,1,
"R5_6, R5_5, R5_4, R5_3, R5_2, R5",0402,6,470,
"R7_6, R7_5, R7_4, R7_3, R7_2, R7, R8_6, R8_5, R8_4, R8_3, R8_2, R8",0402,12,1k,
"SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1",SW_Push_SPST_NO_Alps_SKRK,6,RESET,
"SW2_6, SW2_5, SW2_4, SW2_3, SW2_2, SW2",SW_Push_SPST_NO_Alps_SKRK,6,BOOT_SEL,
"TP1_6, TP1_5, TP1_4, TP1_3, TP1_2, TP1, TP2_6, TP2_5, TP2_4, TP2_3, TP2_2, TP2, TP3_6, TP3_5, TP3_4, TP3_3, TP3_2, TP3",CustomTestPoint,18,TestPoint,
"U1_6, U1_5, U1_4, U1_3, U1_2, U1",RP2040-QFN-56,6,RP2040,
"U2_6, U2_5, U2_4, U2_3, U2_2, U2",SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,6,W25Q16JVUXIQ,
"U3_6, U3_5, U3_4, U3_3, U3_2, U3",SOT-23-5,6,TLV75533PDBVR,
"Y1_6, Y1_5, Y1_4, Y1_3, Y1_2, Y1",Crystal_SMD_3225-4Pin_3.2x2.5mm,6,12MHz,
