Designator,Mid X,Mid Y,Rotation,Layer
R1_2,39.18,-81.52,90.0,top
R1,15.68,-23.52,90.0,top
R10_6,8.96,-69.39,90.0,top
R10_5,8.96,-11.39,90.0,top
R10_4,55.96,-11.39,90.0,top
R10_3,32.46,-11.39,90.0,top
R10_2,32.46,-69.39,90.0,top
R10,55.96,-69.39,90.0,top
R11_6,16.26,-15.03,270.0,top
R11_5,63.26,-73.03,270.0,top
R11_4,39.76,-15.03,270.0,top
R11_3,63.26,-15.03,270.0,top
R11_2,39.76,-73.03,270.0,top
R11,16.26,-73.03,270.0,top
R12_6,8.96,-67.39,270.0,top
R12_5,32.46,-67.39,270.0,top
R12_4,55.96,-9.39,270.0,top
R12_3,32.46,-9.39,270.0,top
R12_2,8.96,-9.39,270.0,top
R12,55.96,-67.39,270.0,top
R13_6,36.5,-73.62,90.0,top
R13_5,36.5,-15.62,90.0,top
R13_4,60.0,-15.62,90.0,top
R13_3,13.0,-73.62,90.0,top
R13_2,60.0,-73.62,90.0,top
R13,13.0,-15.62,90.0,top
R14_6,37.47,-15.62,270.0,top
R14_5,37.47,-73.62,270.0,top
R14_4,13.97,-15.62,270.0,top
R14_3,13.97,-73.62,270.0,top
R14_2,60.97,-73.62,270.0,top
R14,60.97,-15.62,270.0,top
R15_6,68.09,-14.96,180.0,top
R15_5,44.59,-72.96,180.0,top
R15_4,21.09,-72.96,180.0,top
R15_3,21.09,-14.96,180.0,top
R15_2,68.09,-72.96,180.0,top
R15,44.59,-14.96,180.0,top
R2_6,40.37,-82.81,90.0,top
R2_5,16.87,-82.81,90.0,top
R2_4,16.87,-24.81,90.0,top
R2_3,63.87,-82.81,90.0,top
R2_2,63.87,-24.81,90.0,top
R2,40.37,-24.81,90.0,top
R3_6,68.38,-20.47,270.0,top
R3_5,21.38,-78.47,270.0,top
R3_4,21.38,-20.47,270.0,top
R3_3,44.88,-20.47,270.0,top
R3_2,68.38,-78.47,270.0,top
R3,44.88,-78.47,270.0,top
R4_6,44.45,-80.16,180.0,top
R4_5,67.95,-22.16,180.0,top
R4_4,44.45,-22.16,180.0,top
R4_3,20.95,-80.16,180.0,top
R4_2,20.95,-22.16,180.0,top
R4,67.95,-80.16,180.0,top
R5_6,19.04,-24.24,270.0,top
R5_5,42.54,-24.24,270.0,top
R5_4,19.04,-82.24,270.0,top
R5_3,66.04,-24.24,270.0,top
R5_2,66.04,-82.24,270.0,top
R5,42.54,-82.24,270.0,top
R7_6,61.57,-98.87,180.0,top
R7_5,14.57,-98.87,180.0,top
R7_4,38.07,-98.87,180.0,top
R7_3,61.57,-40.87,180.0,top
R7_2,14.57,-40.87,180.0,top
R7,38.07,-40.87,180.0,top
R8_6,37.01,-77.52,0.0,top
R8_5,13.51,-19.52,0.0,top
R8_4,37.01,-19.52,0.0,top
R8_3,60.51,-19.52,0.0,top
R8_2,60.51,-77.52,0.0,top
R8,13.51,-77.52,0.0,top
R9_6,33.76,-82.26,0.0,top
R9_5,57.26,-82.26,0.0,top
R9_4,10.26,-24.26,0.0,top
R9_3,57.26,-24.26,0.0,top
R9_2,10.26,-82.26,0.0,top
R9,33.76,-24.26,0.0,top
SW1_6,19.7825,-46.0825,90.0,top
SW1_5,66.7825,-104.0825,90.0,top
SW1_4,19.7825,-104.0825,90.0,top
SW1_3,66.7825,-46.0825,90.0,top
SW1_2,43.2825,-46.0825,90.0,top
SW1,43.2825,-104.0825,90.0,top
SW2_6,61.53,-20.61,180.0,top
SW2_5,14.53,-20.61,180.0,top
SW2_4,14.53,-78.61,180.0,top
SW2_3,38.03,-78.61,180.0,top
SW2_2,61.53,-78.61,180.0,top
SW2,38.03,-20.61,180.0,top
U1_6,38.425,-91.01,0.0,top
U1_5,38.425,-33.01,0.0,top
